107 true_sum = 53472, estimate_sum = 52208, error = -2.364%
108 true_sum = 53128, estimate_sum = 52317, error = -1.527%
109 true_sum = 53408, estimate_sum = 52474, error = -1.749%
110 true_sum = 54093, estimate_sum = 53297, error = -1.472%
111 true_sum = 53712, estimate_sum = 52643, error = -1.990%
112 true_sum = 53448, estimate_sum = 52537, error = -1.704%
113 true_sum = 53585, estimate_sum = 52563, error = -1.907%
114 true_sum = 53887, estimate_sum = 53220, error = -1.238%
115 true_sum = 54103, estimate_sum = 52884, error = -2.253%
116 true_sum = 53757, estimate_sum = 53237, error = -0.967%
117 true_sum = 53109, estimate_sum = 52472, error = -1.199%
118 true_sum = 53814, estimate_sum = 53157, error = -1.221%
119 true_sum = 53810, estimate_sum = 53165, error = -1.199%
120 true_sum = 53850, estimate_sum = 53904, error = 0.100%
121 true_sum = 53328, estimate_sum = 53379, error = 0.096%
122 true_sum = 52901, estimate_sum = 53351, error = 0.851%
123 true_sum = 52917, estimate_sum = 52666, error = -0.474%
124 true_sum = 53615, estimate_sum = 53358, error = -0.479%
125 true_sum = 53905, estimate_sum = 53335, error = -1.057%
126 true_sum = 54486, estimate_sum = 53891, error = -1.092%
127 true_sum = 54531, estimate_sum = 52300, error = -4.091%
128 true_sum = 54010, estimate_sum = 52066, error = -3.599%
129 true_sum = 54368, estimate_sum = 52476, error = -3.480%
130 true_sum = 54111, estimate_sum = 52383, error = -3.193%
131 true_sum = 53147, estimate_sum = 52119, error = -1.934%
132 true_sum = 52772, estimate_sum = 51617, error = -2.189%
133 true_sum = 52975, estimate_sum = 52115, error = -1.623%
134 true_sum = 53676, estimate_sum = 52195, error = -2.759%
135 true_sum = 52815, estimate_sum = 51858, error = -1.812%
136 true_sum = 52665, estimate_sum = 52045, error = -1.177%
137 true_sum = 52759, estimate_sum = 53013, error = 0.481%
138 true_sum = 52362, estimate_sum = 52584, error = 0.424%
139 true_sum = 53139, estimate_sum = 53161, error = 0.041%
140 true_sum = 53124, estimate_sum = 53112, error = -0.023%
141 true_sum = 53333, estimate_sum = 53728, error = 0.741%
142 true_sum = 53367, estimate_sum = 53923, error = 1.042%
143 true_sum = 52997, estimate_sum = 54062, error = 2.010%
144 true_sum = 52576, estimate_sum = 53453, error = 1.668%
145 true_sum = 53432, estimate_sum = 54033, error = 1.125%
146 true_sum = 53464, estimate_sum = 53760, error = 0.554%
